Website Information,,Location Information,,,,Load Cell Information,,,,,,,,,LVDT Information,,,,Temp Sensor Information,,,FOS Sensor Sleeve Information,,,,,NOTES
,,,,,,,P3500,,,,,Tensioning,,,,Calibration Factor,,,,X*cal-70,,,,,,,
Contact Info,Other,Node,Cable ID,Strand,Chair Side,CTL ID,Gage Factor,Balance,Shunt Value,Cal Factor_L,Shunt Load,DaqCal,Load Cell,WDAQ_L,UM ID,Monitoring,Tensioning,WDAQ,UM ID,Cal Factor_T,WDAQ,UM ID,Serial #,Gage Factor,Offset,DMI DAQ,
Email,,#,Stay-Side,#,,#,,,me,lb/me,lbs.,,lbs.,Chan #,,,,Chan #,,°F/V,Chan #,sleeve - sensor,#,,me,Chan #,
test@gmail.com,,43641,17A-Left,72,L1,8,1.993,4.02,584,12.65,7387.6,31625,20760,1,9,0.00501,0.01055,5,13,98.86,7,7-11,--,--,--,--,
test1@gmail.com,,,,,,,,,,,,,,,,,,,,,,7-2,SF07634,1001041,"9,730",1,LVDT 9 and 10 swapped after tensioning?
test2@gmail.com,,43641,17A-Right,66,L2,13,2,4.17,583,12.604,7348.1,31510,20950,2,10,0.00504,0.01071,6,10,99.4,--,5-1,SF07637,1001059,"10,728",2,
,,,,,,,,,,,,,,,,,,,,,,5-2,SF07638,1001051,"10,224",3,
,,43644,10A-Left,63,L2,10,2,9.07,584,12.55,7329.2,31375,20080,1,6,0.00499,0.01054,5,6,99.0,7,4-11,SF07630,1001041,0,4,
,,,,,,,,,,,,,,,,,,,,,,4-2,SF07642,1001076,"10,074",5,
,,43644,10A-Right,69,L1,3,1.992,2.91       (-2k),583,12.509,7292.7,31272.5,19980,2,5,0.00478,0.01018,6,5,99.2,--,1-1,SF07646,1001031,"9,743",6,
,,,,,,,,,,,,,,,,,,,,,,1-2,SF07647,1001019,"10,437",7,
,,43642,2A-Left,59,L2,5,2,8.05,584,12.596,7356.1,31490,26060,1,2,0.00509,0.01076,5,2,98.2,8,2-1,SF07644,1001056,"10,641",8,
,,,,,,,,,,,,,,,,,,,,,,2-2,SF07643,1001096,"10,517",9,"FOS lead was cut, no longer functions"
,,43642,2A-Right,47,L1,7,2,3.77,583,12.517,7297.4,31292.5,25770,2,1,0.00492,0.01044,6,1,97.9,--,3-11,SF07639,1001061,0,10,
,,,,,,,,,,,,,,,,,,,,,,3-2,SF07640,1001075,"10,202",11,
,,45616,2B-Left,47,L1,9,2,4.34,584,12.627,7374.2,31567.5,22490,1,3,0.00499,0.005001,5,3,99.2,7,6-1,SF07653,1001079,"11,090",12,
,,,,,,,,,,,,,,,,,,,,,,6-2,SF07654,1001085,"11,028",13,
,,45616,2B-Right,59,L2,6,2,6.52,584,12.602,7359.6,31505,22460,2,4,0.00505,0.005027,6,4,99.4,--,N/A,--,--,--,--,
,,,,,,,,,,,,,,,,,,,,,,N/A,--,--,--,--,
,,43643,10B-Left,69,L1,1,1.998,6.44,584,12.582,7347.9,31455,20970,1,7,0.00500,0.005018,5,7,99.4,7,8-1,SF07627,1001038,"9,848",14,
,,,,,,,,,,,,,,,,,,,,,,8-22,SF07628,1001042,"16,329",15,
,,43643,10B-Right,63,L2,2,2,1.92,583,12.517,7297.4,31292.5,21050,2,8,0.00499,0.004981,6,8,99.4,--,10-1,SF07665,1001079,"11,074",16,
,,,,,,,,,,,,,,,,,,,,,,10-2,SF07648,1001033,"10,417",17,
,,45617,17B-Left,66,L1,12,1.996,1.54       (-2k),583,12.601,7346.4,31502.5,20250,1,11,0.00501,0.005012,5,11,99.2,7,9-12,SF07636,1001040,"15,829",18,
,,,,,,,,,,,,,,,,,,,,,,9-2,SF07645,1001059,"10,208",19,
,,45617,17B-Right,72,L2,11,2.002,3.58,584,12.681,7405.7,31702.5,20810,2,12,0.00503,0.005034,6,12,98.9,--,12-12,SF07659,1001047,"15,328",20,
,,14441,Wind Sensor,,,,,,,,,,,,,,,,,,,12-2,SF07658,1001080,"10,512",21,
